Czas,Kurs (PLN/MWh),Wolumen (Mwh)
2024-12-01 00:00:00,352.45,3128.8
2024-12-01 01:00:00,334.08,3106.1
2024-12-01 02:00:00,331.45,3065.6
2024-12-01 03:00:00,316.78,3141.0
2024-12-01 04:00:00,335.06,3103.8
2024-12-01 05:00:00,390.51,3135.0
2024-12-01 06:00:00,483.78,3942.2
2024-12-01 07:00:00,581.01,3770.6
2024-12-01 08:00:00,605.07,4151.4
2024-12-01 09:00:00,518.73,4198.6
2024-12-01 10:00:00,428.28,5181.9
2024-12-01 11:00:00,429.7,4960.1
2024-12-01 12:00:00,451.32,4628.9
2024-12-01 13:00:00,518.88,3712.7
2024-12-01 14:00:00,614.72,4169.1
2024-12-01 15:00:00,717.58,4703.3
2024-12-01 16:00:00,749.16,4936.6
2024-12-01 17:00:00,663.58,5119.1
2024-12-01 18:00:00,640.1,4999.0
2024-12-01 19:00:00,634.03,4846.9
2024-12-01 20:00:00,563.43,4335.1
2024-12-01 21:00:00,489.24,3008.8
2024-12-01 22:00:00,488.76,3681.9
2024-12-01 23:00:00,443.08,3227.5
2024-12-02 00:00:00,477.56,3346.0
2024-12-02 01:00:00,456.65,3683.8
2024-12-02 02:00:00,446.83,3597.3
2024-12-02 03:00:00,447.41,3217.4
2024-12-02 04:00:00,467.99,3330.8
2024-12-02 05:00:00,499.37,3592.0
2024-12-02 06:00:00,583.59,5031.0
2024-12-02 07:00:00,657.27,4127.9
2024-12-02 08:00:00,696.88,4676.4
2024-12-02 09:00:00,684.31,4851.7
2024-12-02 10:00:00,634.52,4930.9
2024-12-02 11:00:00,654.3,4908.8
2024-12-02 12:00:00,687.96,4803.1
2024-12-02 13:00:00,781.12,4950.1
2024-12-02 14:00:00,884.46,4988.0
2024-12-02 15:00:00,1017.66,5915.4
2024-12-02 16:00:00,1034.06,6041.5
2024-12-02 17:00:00,1001.23,5886.3
2024-12-02 18:00:00,903.59,5578.9
2024-12-02 19:00:00,862.99,5422.2
2024-12-02 20:00:00,745.72,5209.4
2024-12-02 21:00:00,621.69,4456.3
2024-12-02 22:00:00,593.15,5628.5
2024-12-02 23:00:00,551.37,4888.0
2024-12-03 00:00:00,575.82,4446.4
2024-12-03 01:00:00,549.02,4431.2
2024-12-03 02:00:00,541.48,4508.1
2024-12-03 03:00:00,535.96,4531.0
2024-12-03 04:00:00,543.99,4956.5
2024-12-03 05:00:00,581.3,4980.2
2024-12-03 06:00:00,666.14,5549.6
2024-12-03 07:00:00,877.95,4592.0
2024-12-03 08:00:00,935.98,5300.1
2024-12-03 09:00:00,872.01,5335.5
2024-12-03 10:00:00,799.11,5667.3
2024-12-03 11:00:00,853.08,5385.7
2024-12-03 12:00:00,849.51,5640.6
2024-12-03 13:00:00,894.97,5758.1
2024-12-03 14:00:00,927.68,5344.3
2024-12-03 15:00:00,926.62,5975.4
2024-12-03 16:00:00,1039.2,5387.9
2024-12-03 17:00:00,1005.68,5327.9
2024-12-03 18:00:00,921.73,5202.3
2024-12-03 19:00:00,858.25,5342.6
2024-12-03 20:00:00,735.94,5218.9
2024-12-03 21:00:00,618.14,5295.2
2024-12-03 22:00:00,592.36,6039.1
2024-12-03 23:00:00,567.08,4295.5
2024-12-04 00:00:00,519.47,4136.3
2024-12-04 01:00:00,495.26,4715.1
2024-12-04 02:00:00,484.34,4587.5
2024-12-04 03:00:00,482.82,4515.2
2024-12-04 04:00:00,498.73,4833.9
2024-12-04 05:00:00,547.26,5090.1
2024-12-04 06:00:00,692.45,6336.6
2024-12-04 07:00:00,967.09,5720.8
2024-12-04 08:00:00,1067.59,6040.9
2024-12-04 09:00:00,932.97,5800.9
2024-12-04 10:00:00,823.51,5895.2
2024-12-04 11:00:00,861.71,5759.2
2024-12-04 12:00:00,903.62,5973.7
2024-12-04 13:00:00,887.89,5843.7
2024-12-04 14:00:00,1043.9,6093.7
2024-12-04 15:00:00,913.54,6597.3
2024-12-04 16:00:00,1005.5,6186.7
2024-12-04 17:00:00,823.84,5439.9
2024-12-04 18:00:00,706.06,5177.6
