Czas,Kurs (PLN/MWh),Wolumen (Mwh)
2025-01-26 00:00:00,299.73,3600.9
2025-01-26 01:00:00,306.87,3896.8
2025-01-26 02:00:00,313.41,3918.6
2025-01-26 03:00:00,317.01,3750.8
2025-01-26 04:00:00,357.2,3833.2
2025-01-26 05:00:00,396.66,3892.0
2025-01-26 06:00:00,475.54,5210.6
2025-01-26 07:00:00,526.15,4894.1
2025-01-26 08:00:00,519.92,4711.9
2025-01-26 09:00:00,443.6,5217.2
2025-01-26 10:00:00,373.35,6300.5
2025-01-26 11:00:00,354.39,6480.8
2025-01-26 12:00:00,351.7,6978.0
2025-01-26 13:00:00,367.62,6532.8
2025-01-26 14:00:00,393.29,5277.3
2025-01-26 15:00:00,471.79,4999.6
2025-01-26 16:00:00,490.69,5039.8
2025-01-26 17:00:00,515.31,4948.5
2025-01-26 18:00:00,503.69,4946.7
2025-01-26 19:00:00,507.58,4884.6
2025-01-26 20:00:00,469.21,4655.3
2025-01-26 21:00:00,396.09,4273.1
2025-01-26 22:00:00,413.6,4275.0
2025-01-26 23:00:00,383.45,4748.2
